User Data :
Assigned Num:               test
User Gender:                
User age:                   
User dominant hand:         
Date :                      
Width and Height of Screen: 3000, 2000
Center of Circle X:         1500
Center of Circle Y:         1000


trial Number: 1 | Actual Quadrant: 1 | Actual Coord x: 1527.7901418470544 | Actual Coord y: 1307.6659854453715 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 2011.002995277694 | Actual dot distance from center: 308.91851770968816 | User aprox distance from center: 1802.7756377319947 | Dot angle: 84.83872536215664 | User aprox angle: 33.690067525979785 | Difference between angles: 0.8927124872172844 | Difference between radii: -1493.8571200223066
trial Number: 64 | Actual Quadrant: 2 | Actual Coord x: 1850.9114034866689 | Actual Coord y: 954.9872794423361 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 2082.756281338185 | Actual dot distance from center: 353.78659967413415 | User aprox distance from center: 1802.7756377319947 | Dot angle: -7.309627485487736 | User aprox angle: 33.690067525979785 | Difference between angles: -0.7155796702636026 | Difference between radii: -1448.9890380578606

trial Number: 65 | Actual Quadrant: 1 | Actual Coord x: 1504.2413563076707 | Actual Coord y: 1037.2555036981857 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 1827.1948549562298 | Actual dot distance from center: 37.49615525802812 | User aprox distance from center: 1802.7756377319947 | Dot angle: 83.50511969956952 | User aprox angle: 33.690067525979785 | Difference between angles: 0.8694366774818988 | Difference between radii: -1765.2794824739667

trial Number: 66 | Actual Quadrant: 4 | Actual Coord x: 1423.8541647480538 | Actual Coord y: 1041.7595903191805 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 1764.2629414269193 | Actual dot distance from center: 86.8449860950091 | User aprox distance from center: 1802.7756377319947 | Dot angle: -28.741066081977714 | User aprox angle: 33.690067525979785 | Difference between angles: -1.089628837211345 | Difference between radii: -1715.9306516369857

trial Number: 67 | Actual Quadrant: 2 | Actual Coord x: 1742.1536935157844 | Actual Coord y: 887.9181097346172 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 1955.3767057591194 | Actual dot distance from center: 266.8347080287678 | User aprox distance from center: 1802.7756377319947 | Dot angle: -24.837264194827064 | User aprox angle: 33.690067525979785 | Difference between angles: -1.021494640934998 | Difference between radii: -1535.9409297032269

trial Number: 68 | Actual Quadrant: 2 | Actual Coord x: 1564.7235781840454 | Actual Coord y: 959.5849912325579 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 1835.528052502568 | Actual dot distance from center: 76.3054028664987 | User aprox distance from center: 1802.7756377319947 | Dot angle: -31.981678896366212 | User aprox angle: 33.690067525979785 | Difference between angles: -1.1461882006047444 | Difference between radii: -1726.470234865496

trial Number: 69 | Actual Quadrant: 1 | Actual Coord x: 1520.2747104262758 | Actual Coord y: 1210.1057084050822 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 1943.088011562076 | Actual dot distance from center: 211.081672788688 | User aprox distance from center: 1802.7756377319947 | Dot angle: 84.4881571336592 | User aprox angle: 33.690067525979785 | Difference between angles: 0.8865939173771203 | Difference between radii: -1591.6939649433068

trial Number: 70 | Actual Quadrant: 2 | Actual Coord x: 1523.847404732279 | Actual Coord y: 987.8899136531908 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 1816.0499427072514 | Actual dot distance from center: 26.746082026949324 | User aprox distance from center: 1802.7756377319947 | Dot angle: -26.92217502195004 | User aprox angle: 33.690067525979785 | Difference between angles: -1.0578831994787723 | Difference between radii: -1776.0295557050454

trial Number: 71 | Actual Quadrant: 2 | Actual Coord x: 1851.6422392374645 | Actual Coord y: 872.6775486154387 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 2046.9843883102244 | Actual dot distance from center: 373.98298228998635 | User aprox distance from center: 1802.7756377319947 | Dot angle: -19.904283914070316 | User aprox angle: 33.690067525979785 | Difference between angles: -0.9353978930998386 | Difference between radii: -1428.7926554420083

trial Number: 72 | Actual Quadrant: 1 | Actual Coord x: 1601.4356231569463 | Actual Coord y: 1361.9842575484 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 2102.2837993300864 | Actual dot distance from center: 375.92790313849326 | User aprox distance from center: 1802.7756377319947 | Dot angle: 74.34600763431388 | User aprox angle: 33.690067525979785 | Difference between angles: 0.70958001538405 | Difference between radii: -1426.8477345935014

trial Number: 73 | Actual Quadrant: 2 | Actual Coord x: 1624.6071888542592 | Actual Coord y: 896.7183725231549 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 1855.654158968614 | Actual dot distance from center: 161.84574782312578 | User aprox distance from center: 1802.7756377319947 | Dot angle: -39.65389883470923 | User aprox angle: 33.690067525979785 | Difference between angles: -1.2800936994659864 | Difference between radii: -1640.929889908869

trial Number: 74 | Actual Quadrant: 2 | Actual Coord x: 1651.5390162399658 | Actual Coord y: 947.367369764129 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 1903.965875601944 | Actual dot distance from center: 160.4190363034342 | User aprox distance from center: 1802.7756377319947 | Dot angle: -19.153170245392914 | User aprox angle: 33.690067525979785 | Difference between angles: -0.9222884865246841 | Difference between radii: -1642.3566014285605

trial Number: 75 | Actual Quadrant: 2 | Actual Coord x: 1530.3435085252572 | Actual Coord y: 976.6245365784862 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 1815.4191635907496 | Actual dot distance from center: 38.303274008795746 | User aprox distance from center: 1802.7756377319947 | Dot angle: -37.6092631653321 | User aprox angle: 33.690067525979785 | Difference between angles: -1.2444080750316373 | Difference between radii: -1764.472363723199

trial Number: 76 | Actual Quadrant: 4 | Actual Coord x: 1276.8531479036708 | Actual Coord y: 1083.5617691449227 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 1674.6522232583063 | Actual dot distance from center: 238.2794302140459 | User aprox distance from center: 1802.7756377319947 | Dot angle: -20.529410334163938 | User aprox angle: 33.690067525979785 | Difference between angles: -0.9463084073716775 | Difference between radii: -1564.4962075179487

trial Number: 77 | Actual Quadrant: 4 | Actual Coord x: 1247.5447882716285 | Actual Coord y: 1088.6898564188355 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 1655.7818703600324 | Actual dot distance from center: 267.5808748031341 | User aprox distance from center: 1802.7756377319947 | Dot angle: -19.356848056994394 | User aprox angle: 33.690067525979785 | Difference between angles: -0.9258433349503867 | Difference between radii: -1535.1947629288607

trial Number: 78 | Actual Quadrant: 4 | Actual Coord x: 1268.0227034642112 | Actual Coord y: 1081.309915796614 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 1666.4671345396428 | Actual dot distance from center: 245.81450021287546 | User aprox distance from center: 1802.7756377319947 | Dot angle: -19.31597581903118 | User aprox angle: 33.690067525979785 | Difference between angles: -0.9251299798252699 | Difference between radii: -1556.9611375191193

trial Number: 79 | Actual Quadrant: 4 | Actual Coord x: 1236.3448345813526 | Actual Coord y: 1101.0588542929443 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 1655.5600715808785 | Actual dot distance from center: 282.35959038597724 | User aprox distance from center: 1802.7756377319947 | Dot angle: -20.97179590431999 | User aprox angle: 33.690067525979785 | Difference between angles: -0.954029492134213 | Difference between radii: -1520.4160473460174

trial Number: 80 | Actual Quadrant: 4 | Actual Coord x: 1456.8741600334079 | Actual Coord y: 1028.4022859148517 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 1783.2816883061241 | Actual dot distance from center: 51.63843450389547 | User aprox distance from center: 1802.7756377319947 | Dot angle: -33.36853674510871 | User aprox angle: 33.690067525979785 | Difference between angles: -1.1703934363224264 | Difference between radii: -1751.1372032280992

User Data :
Assigned Num:               
User Gender:                
User age:                   
User dominant hand:         
Date :                      
Width and Height of Screen: 3000, 2000
Center of Circle X:         1500
Center of Circle Y:         1000


trial Number: 1 | Actual Quadrant: 4 | Actual Coord x: 1384.667870188669 | Actual Coord y: 1058.5134651259011 | User Quadrant: 4 | User Coord x: 1381 | User Coord y: 1043 | Distance between: 15.941169089294453 | Actual dot distance from center: 129.3264310489459 | User aprox distance from center: 126.53062870309307 | Dot angle: -26.90084398636634 | User aprox angle: -19.867045007086656 | Difference between angles: -0.12276295111184687 | Difference between radii: 2.7958023458528203

trial Number: 2 | Actual Quadrant: 1 | Actual Coord x: 1511.2753350823202 | Actual Coord y: 1111.9204652738322 | User Quadrant: 1 | User Coord x: 1546 | User Coord y: 1119 | Distance between: 35.438992163775715 | Actual dot distance from center: 112.48699359628061 | User aprox distance from center: 127.58134659894448 | Dot angle: 84.24719398064833 | User aprox angle: 68.86576011963278 | Difference between angles: 0.2684566645524653 | Difference between radii: -15.094353002663865

trial Number: 3 | Actual Quadrant: 3 | Actual Coord x: 1448.3714080106533 | Actual Coord y: 731.9822241573856 | User Quadrant: 3 | User Coord x: 1404 | User Coord y: 748 | Distance between: 47.174049982931415 | Actual dot distance from center: 272.94512210044036 | User aprox distance from center: 269.6664606509308 | Dot angle: 79.09659815557049 | User aprox angle: 69.14554196042165 | Difference between angles: 0.17367869465632646 | Difference between radii: 3.2786614495095705

trial Number: 4 | Actual Quadrant: 1 | Actual Coord x: 1588.9725304415092 | Actual Coord y: 1164.1956457161373 | User Quadrant: 1 | User Coord x: 1681 | User Coord y: 1236 | Distance between: 116.72583453315475 | Actual dot distance from center: 186.75203143554972 | User aprox distance from center: 297.41721537261424 | Dot angle: 61.54810905056202 | User aprox angle: 52.51362818053871 | Difference between angles: 0.15768143739034868 | Difference between radii: -110.66518393706451

